Model,Link,Details,Price,Shipping Price
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-perpetual-calendar-chronograph-double-split-52041r--id25629860.htm,Double Split 5204/1R,290139,167
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-perpetual-calendar-chronograph--id27773540.htm,5204/1R-001,280095,78
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-52041r-001-rose-gold-perpetual-calendar-chronograph--id14940854.htm,5204/1R-001 Rose Gold Perpetual Calendar Chronograph,245000,250
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-perpetual-calendar-chronograph--id25580104.htm,5204/1R-001,205000,32
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/perpetual-calendar-chronograph-ref-52041r-001--id22056344.htm,Ref: 5204/1R-001,234040,228
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-2023-full-set-grand-complications-perpetual-calendar-rose-gold--id17694483.htm,(2023 Full Set) Grand Complications Perpetual Calendar Rose Gold,262174,
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-perpetual-calendar-split-seconds-chronograph-52041r-on-rose-gold-bracelet-with-black-dial--id27676537.htm,Split Seconds Chronograph 5204/1R On Rose Gold Bracelet with Black Dial,263950,200
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-perpetual-calendar-chronograph-52041r-unworn--id20182904.htm,5204/1R Unworn,245000,500
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-perpetual-calendar-chronograph-rose-gold-40mm-52041r-001--id14929126.htm,Rose Gold 40mm 5204/1R-001,250000,200
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/grand-complications-chronograph-52041r-001-rose-gold-watch--id23101857.htm,Grand Complications Chronograph 5204/1R-001 Rose Gold Watch,275000,99
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-grand-complications--id15453682.htm,Grand Complications,270348,48
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-perpetual-calendar-chronograph--id23299811.htm,5204/1R-001,259500,200
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-perpetual-calendar-chronograph--id30998267.htm,5204/1R-001,276991,65
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/grand-complication-split-second-chronograph-52041r-001--id31831451.htm,Grand Complication Split-second Chronograph 5204/1R-001,223500,148
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/grand-complications-52041r-001-split-seconds-chronograph-perpetual-calendar--id32451536.htm,Grand Complications 5204/1R-001 Split-Seconds Chronograph Perpetual Calendar,244000,300
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-52041r-perpetual-calendar-split-seconds-chronograph--id6892425.htm,5204/1R Perpetual Calendar Split-Seconds Chronograph,255000,691
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-perpetual-calendar-chronograph-52041r-unworn--id14595983.htm,5204/1R Unworn,258745,500
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-grand-complications--id8147104.htm,Grand Complications,275938,64
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-perpetual-calendar-chronograph--id22884222.htm,5204/1R-001,281962,105
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-perpetual-calendar-chronograph--id19493535.htm,5204/1R-001,321384,1674
Patek Philippe Perpetual Calendar Chronograph,https://www.chrono24.com/patekphilippe/patek-philippe-grand-complications-rose-gold-discontinued---ref-52041r-001--id28807457.htm,Grand Complications Rose Gold [DISCONTINUED] - ref 5204/1R-001,268000,100
