Model,Link,Details,Price,Shipping Price
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-57121a-nautilus-blue-dial-unworn--id26227614.htm,5712/1A Nautilus Blue Dial Unworn,127495,500
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-new-2024-nautilus-57121a-full-set--2024-papers--id27967641.htm,NEW 2024 Nautilus 5712/1A FULL SET 2024 PAPERS,142500,399
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-moonphases-stainless-steel--id32239104.htm,5712/1A Moonphases Stainless Steel,108995,175
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-5712-blue-moon-phase-full-set-2018-unpolished-mint-box-and-papers--id32771129.htm,5712/1a 5712 Blue Moon Phase Full Set 2018 Unpolished Mint Box and Papers,104999,100
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-moon-phase-stainless-steel-blue-date-dial-5712--id28645973.htm,Moon Phase Stainless Steel Blue Date Dial 5712,135000,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-nautilus-moonphase---preowned-complete-set-2009--id23359612.htm,5712/1a Nautilus Moonphase - Preowned Complete Set 2009,119995,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-57121a-nautilus-moonphase--id32740020.htm,5712/1A Nautilus Moonphase,105875,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-mint-nautilus-full-set-stainless-steel-blue-dial-57121a-001--id31016820.htm,MINT Nautilus Full Set Stainless Steel Blue Dial 5712/1A-001,108500,250
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-001--id12368125.htm,5712/1A-001,122000,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/jumbo-nautilus-5712-moonphase-power-reserve-ss--id32627791.htm,Jumbo Nautilus 5712 Moonphase Power Reserve SS,99500,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a-001--id23274266.htm,5712/1A-001,94900,160
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-40mm-blue-57121a-001-2015-mint--id25505549.htm,40mm Blue 5712/1A-001 2015 MINT,160000,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-moon-phase-stainless-steel-blue-date-dial--sealed--id19607166.htm,Moon Phase Stainless Steel Blue Date Dial SEALED,160000,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/2015-nautilus-57121a-001-blue-dial--id32448388.htm,2015 Nautilus 5712/1A-001 Blue Dial,99000,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-moon-phase-stainless-steel-preowned-available--id28725269.htm,5712/1A Moon Phase Stainless Steel (Preowned) Available,109995,175
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-stainless-steel-blue-dial-2019--id30133115.htm,Stainless Steel Blue Dial 2019,119800,500
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-moonphase-powerreserve-57121a-001--id30566768.htm,Moonphase PowerReserve 5712/1A-001,128700,125
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-stainless-steel-date-moon-phases-in-stock--id25086039.htm,"5712/1A Stainless Steel Date Moon Phases ""In Stock""",156995,450
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/jumbo-nautilus-5712-moonphase-power-reserve-ss--id32121540.htm,Jumbo Nautilus 5712 Moonphase Power Reserve SS,99500,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a-001--id26157261.htm,5712/1A-001,119900,160
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id30089783.htm,5712/1A-001,145000,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-2023-nautilus-steel-blue-dial-57121a-001--id9270682.htm,2023 Nautilus Steel Blue Dial 5712/1A-001,119500,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/unworn-2022-nautilus-57121a-001-blue-dial--id32448491.htm,Unworn 2022 Nautilus 5712/1A-001 Blue Dial,117000,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-power-reserve-moon-date--id18083771.htm,Power Reserve Moon Date,169500,2500
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-unworn-2022--id20190808.htm,5712/1A Unworn 2022+,127495,500
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-40mm-blue-57121a-001-unworn-2022--id12580839.htm,40mm Blue 5712/1A-001 Unworn 2022,127470,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id13245869.htm,5712/1A-001,114999,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-steel-blue-dial-57121a-001--id28472892.htm,Steel Blue Dial 5712/1A-001,94500,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-moon-phase-date-stainless-steel-new-57121a-001--id30706107.htm,Moon Phase Date Stainless Steel New 5712/1A-001,120000,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-moon-phase-stainless-steel--id25402099.htm,5712/1A Moon Phase Stainless Steel,135000,175
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id7868480.htm,5712/1A-001,135500,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-unworn--id19770332.htm,5712/1A Unworn,239975,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a-001-moon-phase-stainless-steel-blue-dial-2021--id32401654.htm,5712/1A-001 Moon Phase Stainless Steel Blue Dial (2021),116000,300
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-power-reserve-40-mm-stainless-steel-mans--watch--id30237274.htm,Power reserve 40 mm Stainless steel Man's Watch,138127,130
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus---new-2022---57121a-001--id22846173.htm,NEW 2022 - 5712/1A-001,133888,299
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id31052564.htm,5712/1A-001,102000,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id32246637.htm,5712/1A-001,112565,105
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-tiffany--co-stainless-steel--id32650336.htm,Tiffany & Co Stainless Steel,185000,251
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a-001-tiffany-and-co-moon-phase-stainless-steel--id32469549.htm,5712/1A-001 'Tiffany and Co' Moon Phase Stainless Steel,225000,300
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-steel-only--2023-complete-set--id29273904.htm,5712/1A Steel Only. 2023 Complete Set,135000,255
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id32532943.htm,5712/1A-001,104464,279
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a--id23718605.htm,5712/1A,127529,111
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-5712a--2023--neu--full-set--id30507757.htm,5712A | 2023 | Neu | Full Set,142070,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id20624928.htm,5712/1A-001,110500,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id25293963.htm,5712/1A-001,152863,70
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a-001-tiffany-and-co-moon-phase-stainless-steel-2022--id32469541.htm,5712/1A-001 'Tiffany and Co' Moon Phase Stainless Steel (2022),285000,300
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-57121a-001-nautilus-2017-german-full-set--unpolished-top-condition--id32682297.htm,5712/1A-001 Nautilus (2017 german full set / unpolished top condition),109756,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-new-2021--id18748527.htm,5712/1A NEW 2021,133602,446
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id29205192.htm,5712/1A-001,144939,95
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-blue-dial-italian-warranti-new-2018--id32753580.htm,Blue Dial Italian Warranti NEW 2018,122569,334
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus--id31716952.htm,5712/1A-001,106971,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id26422310.htm,5712/1A-001,119000,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id31625807.htm,5712/1A-001 - Tiffany,225000,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-moonphase-57121a-001--id32677544.htm,Moonphase 5712/1A-001,109950,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id29554126.htm,5712/1A-001,112253,1958
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-ref-57121a-001-full-set-original--id23053915.htm,Ref. 5712/1A-001 Full Set Original,140315,557
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-001-new--id23959805.htm,5712/1A-001 NEW,143185,535
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-full-set-and-full-serviced--in-patek-geneva-salon-in-62023--id29538823.htm,Full set and Full serviced in Patek Geneva Salon in 6.2023,122571,446
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-new-full-set-2019--id14410396.htm,new Full set 2019,131485,446
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/tenpaku----57121a-001----ss----id32607044.htm,[Tenpaku] パテックフィリップ ノーチラス プチコン 5712/1A-001 ブルー 箱 保 SS メンズ 時計 中古,102455,416
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-2021-unworn-patek-phillips-nautilus-57121a-full-set--id22893232.htm,2021 Unworn Patek Phillips Nautilus 5712/1A Full Set,133783,209
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a-001--id30608056.htm,5712/1A-001,142309,59
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-moonphase-57121a-001--id31556512.htm,Moonphase 5712/1A-001,112950,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id32593945.htm,5712/1A-001,128142,134
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-moonphase-bp-2016-deutsch-ref57121a-001--id8520749.htm,Moonphase B+P 2016 Deutsch Ref.5712/1A-001,109188,1113
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus--id29117261.htm,5712/1A-001,110941,653
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-moonphase-power-reserve-40-steel-blue-2013-box--papers--unpolished--id32186575.htm,Moonphase Power Reserve 40 steel blue 2013 box + papers | UNPOLISHED,104129,195
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-moon-phase-5712-2016--id31739965.htm,Moon Phase 5712 2016,99000,110
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-moon-phase-57121a-stainless-steel-40mm-full-set-new-2022--id31320502.htm,Moon Phase 5712/1a Stainless Steel 40mm Full Set New 2022,130004,70
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id25998244.htm,5712/1A-001,104356,209
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a-001--id29260729.htm,5712/1A-001,142309,59
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-moonphase-full-set-2009-unpolished--id32741685.htm,Moonphase Full Set 2009 Unpolished,99171,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-moon-phases-57121a-001-unworn-2023--id27362398.htm,Moon Phases 5712/1A-001 (Unworn 2023),144851,110
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-moon-phase-57121a-001--id31792458.htm,Moon Phase 5712/1A-001,105179,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-5712-new--id12416872.htm,5712 New,133602,279
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-ref-57121a-001-super-full-set-excellent-conditions--id25969698.htm,ref. 5712/1A-001 Super Full Set Excellent Conditions,119228,333
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-5712-moonphase--id31010211.htm,5712 Moonphase,135657,110
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus--id31855855.htm,5712/1A-001,125000,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id32261006.htm,5712/1A-001,105856,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a-001--id29260551.htm,5712/1A-001,116219,119
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id30991808.htm,5712/1A-001,110882,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/----57121a-001--id25529623.htm,パテック・フィリップ ノーチラス パワーリザーブ ムーンフェイズ5712/1A-001,137360,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-moon-phase-57121a-001--id32187118.htm,Moon Phase 5712/1A-001,105822,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus---57121a---2021--id29710394.htm,5712/1A - 2021,122695,110
