Model,Link,Details,Price,Shipping Price
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-57121a-nautilus-blue-dial-unworn--id26227614.htm,5712/1A Nautilus Blue Dial Unworn,127495,500
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-moonphases-stainless-steel--id32239104.htm,5712/1A Moonphases Stainless Steel,108995,175
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a-001--id23274266.htm,5712/1A-001,94900,160
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-mint-nautilus-full-set-stainless-steel-blue-dial-57121a-001--id31016820.htm,MINT Nautilus Full Set Stainless Steel Blue Dial 5712/1A-001,108500,250
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id13245869.htm,5712/1A-001,114999,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-57121a-001-nautilus-moonphase-stainless-steel-40mm-57121a-001---box--papers-2018--id31882497.htm,5712/1A-001 Nautilus Moonphase Stainless Steel 40mm (5712/1A-001) - BOX & PAPERS 2018,113500,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-stainless-steel-blue-dial-2019--id30133115.htm,Stainless Steel Blue Dial 2019,119800,500
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-2021-nautilus-5712-moonphase--id29927017.htm,2021 Nautilus 5712 Moonphase,120271,1300
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-steel-blue-dial-57121a-001--id28472892.htm,Steel Blue Dial 5712/1A-001,94500,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-nautilus-moonphase---preowned-complete-set-2009--id23359612.htm,5712/1a Nautilus Moonphase - Preowned Complete Set 2009,119995,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id29897726.htm,5712/1A-001,109598,70
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-ref-57121a-001-super-full-set-excellent-conditions--id25969698.htm,ref. 5712/1A-001 Super Full Set Excellent Conditions,119403,334
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id31052564.htm,5712/1A-001,102000,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-moon-phase-57121a-poincon-de-geneve--id15992190.htm,Moon Phase 5712/1A Poincon de geneve,100431,167
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id29554126.htm,5712/1A-001,111819,1950
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-2018-nautilus-5712-moonphase--id29926966.htm,2018 Nautilus 5712 Moonphase,110454,1300
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-single-dot-perfekt-condition-box--papers--id22928434.htm,Single-Dot Perfekt-Condition Box & Papers,106001,220
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-5712-moonphase---stainless-steel-perfect-condition---full-set--id15576047.htm,5712 Moonphase - Stainless Steel Perfect condition - FULL SET,121635,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id26422310.htm,5712/1A-001,119000,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus--id31716952.htm,5712/1A-001,107128,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--moonphase--dec-2011--bp--id29083131.htm,• Moonphase • Dec 2011 • B&P,101662,22
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a-001--id26157261.htm,5712/1A-001,119900,160
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-001--id12368125.htm,5712/1A-001,122000,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-moonphase-bp-2016-deutsch-ref57121a-001--id8520749.htm,Moonphase B+P 2016 Deutsch Ref.5712/1A-001,107117,1115
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id29753112.htm,5712/1A-001,92416,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id30991808.htm,5712/1A-001,110454,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id27789657.htm,5712/1A-001,119635,88
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--moonphase--2010--bp--id28876199.htm,• Moonphase • 2010 • B&P,105484,22
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus-57121a-001-stainless-steel-blue-dial-moon-phase-2008--id32506796.htm,5712/1A-001 Stainless Steel Blue Dial Moon Phase (2008),94200,300
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/jumbo-nautilus-5712-moonphase-power-reserve-ss--id32627791.htm,Jumbo Nautilus 5712 Moonphase Power Reserve SS,99500,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-patek-philippe-nautilus-new-2021-blue-dial---57121a-001--id31921691.htm,[NEW 2021] Blue Dial - 5712/1A-001,116370,195
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-moon-phase-5712-2016--id31739965.htm,Moon Phase 5712 2016,99000,110
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-57121a-moon-phase-stainless-steel-preowned-available--id28725269.htm,5712/1A Moon Phase Stainless Steel (Preowned) Available,109995,175
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/unworn-2022-nautilus-57121a-001-blue-dial--id32448491.htm,Unworn 2022 Nautilus 5712/1A-001 Blue Dial,117000,200
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus-full-set-and-full-serviced--in-patek-geneva-salon-in-62023--id29538823.htm,Full set and Full serviced in Patek Geneva Salon in 6.2023,122751,446
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id32532943.htm,5712/1A-001,104617,279
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus---57121a---2021--id29710394.htm,5712/1A - 2021,122221,110
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/jumbo-nautilus-5712-moonphase-power-reserve-ss--id32121540.htm,Jumbo Nautilus 5712 Moonphase Power Reserve SS,99500,99
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/nautilus--id29250641.htm,5712/1A-001,111480,
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-57121a-001-blue-dial-nautilus--id14920269.htm,5712/1A-001 Blue Dial Nautilus,110000,250
Patek Philippe Nautilus,https://www.chrono24.com/patekphilippe/patek-philippe-nautilus--id25998244.htm,5712/1A-001,106345,208
